FID,BPID,STREET_NAM,FROM_ROAD,TO_ROAD,BLOCK,WARD,WIDTH__fee,Final_Rati,Rating_Cat,FC_Code,Date_Enter,Miles,Shape__Length
2532,SYR484,Butternut St.,Carbon,Spring,1000,3,40,6,Fair,16,2021/07/16 00:00:00+00,0.0736365856145,162.585033021563
2533,SYR485,Butternut St.,Spring,First North,1100,3,40,6,Fair,16,2021/07/16 00:00:00+00,0.143339570034,316.492935198713
2534,SYR486,Butternut St.,First North,Griffiths,1200,3,40,6,Fair,16,2021/07/16 00:00:00+00,0.074254403128,163.957504916985
2535,SYR487,Butternut St.,Griffiths,Warham,1300,3,40,7,Good,16,2021/07/16 00:00:00+00,0.14197970456,313.506042290921
2536,SYR488,Butternut St.,Warham,Grant Blvd.,1400,3,40,6,Fair,16,2021/07/13 00:00:00+00,0.158029264341,348.889071089563
2537,SYR489,Butternut St.,Grant Blvd.,Hood Av.,1500,3,40,7,Good,19,2021/07/13 00:00:00+00,0.0862467495697,190.382418845718
2538,SYR49,Allen St.,Harvard,Clarke,600,17,27,9,Excellent,19,2021/07/16 00:00:00+00,0.179271182518,395.663195581189
2539,SYR490,Butternut St.,Hood Av.,Ross Park,1600,3,40,7,Good,19,2021/07/13 00:00:00+00,0.0688967622587,152.138954961974
2540,SYR491,Butternut St.,Ross Park,Dale,1700,3,40,5,Poor,19,2021/07/13 00:00:00+00,0.0620616761922,137.048448510868
2541,SYR492,Butternut St.,Dale,Hillside,1800,3,40,6,Fair,19,1899/12/30 00:00:00+00,0.122130907241,269.684723910494
2542,SYR493,Byrne Pl,S. Salina,dead end,100,14,24,9,Excellent,19,2021/07/19 00:00:00+00,0.152899800948,336.028692143953
2543,SYR494,C-D Rd.,Adams,Harrison,100,15,36,6,Fair,19,2021/07/19 00:00:00+00,0.108303067338,239.045013941348
2544,SYR495,Cadillac St,Willumae,Seventh North,100,1,26,6,Fair,19,2021/07/13 00:00:00+00,0.100001894937,220.672258305364
2545,SYR496,Cadillac St,Seventh North,Kenwood,200,1,26,7,Good,19,2021/07/13 00:00:00+00,0.0666434797856,146.927616504013
2546,SYR497,Cadillac St,Kenwood,Martin,300,1,26,7,Good,19,2021/07/13 00:00:00+00,0.077007097859,169.79200669637
2547,SYR498,Cadillac St,Martin,Merrill,400,1,26,7,Good,19,2021/07/13 00:00:00+00,0.0625957777521,138.013080275644
2548,SYR499,Cadillac St,Merrill,Loma,500,1,26,6,Fair,19,2021/07/13 00:00:00+00,0.0817181915124,180.173622193278
2549,SYR5,"Academy Green,W",Seneca Tnpk,Academy St,100,13,25,9,Excellent,19,2021/07/19 00:00:00+00,0.13144448834,289.89154497159
2550,SYR50,Allen St.,Clarke,Euclid,700,17,27,9,Excellent,19,2021/07/16 00:00:00+00,0.14493146531,319.861002635404
2551,SYR500,Cadillac St,Loma,Malverne,600,1,26,5,Poor,19,2021/07/13 00:00:00+00,0.0473472945874,104.392149426615
2552,SYR501,Cadillac St,Malverne,Wadsworth,700,1,26,6,Fair,19,2021/07/13 00:00:00+00,0.0465479821124,102.623602959241
2553,SYR502,Cadillac St,Wadsworth,Harford,800,1,26,5,Poor,19,2021/07/13 00:00:00+00,0.0759015235614,167.359153103045
2554,SYR506,Cadwell St,Fenton,Fitch,200,11,0,8,Good,19,2021/07/19 00:00:00+00,0.140043703079,309.068767378978
2555,SYR509,Caleb Ave,Hickock,Stafford,200,5,28,6,Fair,19,2021/06/17 00:00:00+00,0.172357251529,379.178356027313
2556,SYR512,Caleb Ave,Woodbine,Hillsdale,500,5,27,6,Fair,19,2021/06/17 00:00:00+00,0.0640094651728,140.853878623326
2557,SYR513,Caleb Ave,Hillsdale,Collingwood,600,5,27,7,Good,19,2021/06/17 00:00:00+00,0.0661232273285,145.507607045744
2558,SYR514,Caleb Ave,Collingwood,S. Edwards,700,5,27,7,Good,19,2021/06/17 00:00:00+00,0.0634799988692,139.691812103759
2559,SYR515,Caleb Ave,S. Edwards,S. Midler,800,5,27,6,Fair,19,2021/06/17 00:00:00+00,0.064098131466,141.053139067692
2560,SYR516,Caleb Ave,S. Midler,Nichols,900,5,27,6,Fair,19,2021/06/17 00:00:00+00,0.0598215401807,131.642297351966
2561,SYR517,Caleb Ave,Nichols,Champlin,1000,5,27,7,Good,19,2021/06/17 00:00:00+00,0.0668792989812,147.170511923372
2562,SYR518,Caleb Ave,Champlin,Moseley,1100,5,27,6,Fair,19,2021/06/17 00:00:00+00,0.0709712669709,156.177751125106
